Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,0
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0
eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0
Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,0
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0
Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0
city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,0
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0
