Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Age
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,14
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,16
city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,0,17
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,18
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,13
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,10
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,12
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,10
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,12
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,9
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,15
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,10
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,9
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,9
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0,11
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,10
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0,13
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,10
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,11
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,15
city,2011,4.1,10.0,69341,Petrol,Dealer,Manual,0,15
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual,0,17
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,15
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,9
